economy,year,id_year,urbanpop
SYR,2011,SYR 2011,12406434
TCA,2011,TCA 2011,27940
TCD,2011,TCD 2011,2716552
TEA,2011,TEA 2011,950849298
TEC,2011,TEC 2011,288578421
TGO,2011,TGO 2011,2566655
THA,2011,THA 2011,30713268
TJK,2011,TJK 2011,2064612
TKM,2011,TKM 2011,2617416
TLA,2011,TLA 2011,456600087
TLS,2011,TLS 2011,312513
TMN,2011,TMN 2011,203564691
TON,2011,TON 2011,25227
TSA,2011,TSA 2011,525925036
TSS,2011,TSS 2011,330397705
TTO,2011,TTO 2011,764482
TUN,2011,TUN 2011,7384954
TUR,2011,TUR 2011,52961615
TUV,2011,TUV 2011,5971
TZA,2011,TZA 2011,13366889
UGA,2011,UGA 2011,6625186
UKR,2011,UKR 2011,31395053
UMC,2011,UMC 2011,1399498063
URY,2011,URY 2011,3180512
USA,2011,USA 2011,252208133
UZB,2011,UZB 2011,15007103
VCT,2011,VCT 2011,53651
VEN,2011,VEN 2011,25636044
VGB,2011,VGB 2011,12626
VIR,2011,VIR 2011,102617
VNM,2011,VNM 2011,27458906
VUT,2011,VUT 2011,61720
WLD,2011,WLD 2011,3668565395
WSM,2011,WSM 2011,38989
YEM,2011,YEM 2011,8244926
ZAF,2011,ZAF 2011,32906089
ZMB,2011,ZMB 2011,5685070
ZWE,2011,ZWE 2011,4300463
ABW,2012,ABW 2012,43864
AFE,2012,AFE 2012,182558745
AFG,2012,AFG 2012,7360701
AFW,2012,AFW 2012,161743874
AGO,2012,AGO 2012,15432363
ALB,2012,ALB 2012,1575788
AND,2012,AND 2012,62940
ARB,2012,ARB 2012,216302063
ARE,2012,ARE 2012,7343475
ARG,2012,ARG 2012,38027774
ARM,2012,ARM 2012,1843080
ASM,2012,ASM 2012,46937
ATG,2012,ATG 2012,22380
AUS,2012,AUS 2012,19414834
AUT,2012,AUT 2012,4817487
AZE,2012,AZE 2012,5008847
BDI,2012,BDI 2012,1096506
BEL,2012,BEL 2012,10856360
BEN,2012,BEN 2012,4418712
BFA,2012,BFA 2012,4409695
BGD,2012,BGD 2012,48658361
BGR,2012,BGR 2012,5331472
BHR,2012,BHR 2012,1087280
BHS,2012,BHS 2012,315323
BIH,2012,BIH 2012,1697524
BLR,2012,BLR 2012,7150971
BLZ,2012,BLZ 2012,152506
BMU,2012,BMU 2012,64798
BOL,2012,BOL 2012,7114992
BRA,2012,BRA 2012,169827068
BRB,2012,BRB 2012,87148
BRN,2012,BRN 2012,307643
BTN,2012,BTN 2012,262288
BWA,2012,BWA 2012,1408979
CAF,2012,CAF 2012,1880110
CAN,2012,CAN 2012,28166078
CEB,2012,CEB 2012,64524893
CHE,2012,CHE 2012,5889928
CHI,2012,CHI 2012,49266
CHL,2012,CHL 2012,15120117
CHN,2012,CHN 2012,700996454
CIV,2012,CIV 2012,10603000
CMR,2012,CMR 2012,11098737
COD,2012,COD 2012,29167345
COG,2012,COG 2012,3024450
COL,2012,COL 2012,36031220
COM,2012,COM 2012,192517
CPV,2012,CPV 2012,335379
CRI,2012,CRI 2012,3502521
CSS,2012,CSS 2012,3594354
CUB,2012,CUB 2012,8683386
CUW,2012,CUW 2012,136353
CYM,2012,CYM 2012,56860
CYP,2012,CYP 2012,777911
CZE,2012,CZE 2012,7693579
DEU,2012,DEU 2012,62064608
DJI,2012,DJI 2012,736126
DMA,2012,DMA 2012,47316
DNK,2012,DNK 2012,4872608
DOM,2012,DOM 2012,7603609
DZA,2012,DZA 2012,25678117
EAP,2012,EAP 2012,994473135
EAR,2012,EAR 2012,1295870129
EAS,2012,EAS 2012,1206613250
ECA,2012,ECA 2012,254248697
ECS,2012,ECS 2012,634989639
ECU,2012,ECU 2012,9752988
EGY,2012,EGY 2012,39184092
EMU,2012,EMU 2012,254568545
ERI,2012,ERI 2012,1183034
ESP,2012,ESP 2012,36904876
EST,2012,EST 2012,899089
ETH,2012,ETH 2012,17152352
EUU,2012,EUU 2012,323810708
FCS,2012,FCS 2012,332341553
FIN,2012,FIN 2012,4593267
FJI,2012,FJI 2012,484647
FRA,2012,FRA 2012,51793062
FRO,2012,FRO 2012,19950
FSM,2012,FSM 2012,24162
GAB,2012,GAB 2012,1591211
GBR,2012,GBR 2012,52130345
GEO,2012,GEO 2012,2099468
GHA,2012,GHA 2012,13986163
GIB,2012,GIB 2012,32160
GIN,2012,GIN 2012,3695666
GMB,2012,GMB 2012,1176942
GNB,2012,GNB 2012,676093
GNQ,2012,GNQ 2012,823609
GRC,2012,GRC 2012,8505100
GRD,2012,GRD 2012,41576
GRL,2012,GRL 2012,48402
GTM,2012,GTM 2012,7243152
GUM,2012,GUM 2012,156869
GUY,2012,GUY 2012,196407
HIC,2012,HIC 2012,951139649
HKG,2012,HKG 2012,7150100
HND,2012,HND 2012,4677715
HPC,2012,HPC 2012,222680240
HRV,2012,HRV 2012,2368751
HTI,2012,HTI 2012,5001402
HUN,2012,HUN 2012,6912310
IBD,2012,IBD 2012,2326601285
IBT,2012,IBT 2012,2825400876
IDA,2012,IDA 2012,498799591
IDB,2012,IDB 2012,195246877
IDN,2012,IDN 2012,128304189
IDX,2012,IDX 2012,303552714
IMN,2012,IMN 2012,43895
IND,2012,IND 2012,403171286
IRL,2012,IRL 2012,2849043
IRN,2012,IRN 2012,55484160
IRQ,2012,IRQ 2012,23512763
ISL,2012,ISL 2012,300190
ISR,2012,ISR 2012,7274496
ITA,2012,ITA 2012,40894259
JAM,2012,JAM 2012,1493944
JOR,2012,JOR 2012,6359781
JPN,2012,JPN 2012,116331281
KAZ,2012,KAZ 2012,9566957
KEN,2012,KEN 2012,10658602
KGZ,2012,KGZ 2012,1986238
KHM,2012,KHM 2012,3110665
KIR,2012,KIR 2012,54784
KNA,2012,KNA 2012,14825
KOR,2012,KOR 2012,41089082
KWT,2012,KWT 2012,3394663
LAC,2012,LAC 2012,424604252
LAO,2012,LAO 2012,2034912
LBN,2012,LBN 2012,4538087
LBR,2012,LBR 2012,2104489
LBY,2012,LBY 2012,4608552
LCA,2012,LCA 2012,31941
LCN,2012,LCN 2012,476387252
LDC,2012,LDC 2012,269849448
LIC,2012,LIC 2012,174842240
LIE,2012,LIE 2012,5245
LKA,2012,LKA 2012,3716533
LMC,2012,LMC 2012,1161654015
LMY,2012,LMY 2012,2768319922
LSO,2012,LSO 2012,528145
